Detailed Result,General Result,Result as Number
2nd Try Success,Success,2
3rd Try Success,Success,3
3rd Try Success,Success,3
3rd Try Success,Success,3
2nd Try Success,Success,2
3rd Try Success,Success,3
3rd Try Success,Success,3
2nd Try Success,Success,2
3rd Try Success,Success,3
3rd Try Success,Success,3
3rd Try Success,Success,3
Failed,Failed,0
Failed,Failed,0
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
1st Try Success,Success,1
3rd Try Success,Success,3
2nd Try Success,Success,2
1st Try Success,Success,1
1st Try Success,Success,1
3rd Try Success,Success,3
1st Try Success,Success,1
Failed,Failed,0
1st Try Success,Success,1
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
Failed,Failed,0
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
Failed,Failed,0
1st Try Success,Success,1
Failed,Failed,0
Failed,Failed,0
Failed,Failed,0
1st Try Success,Success,1
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
1st Try Success,Success,1
3rd Try Success,Success,3
2nd Try Success,Success,2
1st Try Success,Success,1
3rd Try Success,Success,3
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
Failed,Failed,0
Failed,Failed,0
3rd Try Success,Success,3
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
1st Try Success,Success,1
1st Try Success,Success,1
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
1st Try Success,Success,1
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
1st Try Success,Success,1
2nd Try Success,Success,2
Failed,Failed,0
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
3rd Try Success,Success,3
1st Try Success,Success,1
2nd Try Success,Success,2
1st Try Success,Success,1
Failed,Failed,0
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
3rd Try Success,Success,3
2nd Try Success,Success,2
3rd Try Success,Success,3
2nd Try Success,Success,2
Failed,Failed,0
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
1st Try Success,Success,1
Failed,Failed,0
3rd Try Success,Success,3
1st Try Success,Success,1
Failed,Failed,0
1st Try Success,Success,1
3rd Try Success,Success,3
2nd Try Success,Success,2
1st Try Success,Success,1
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
1st Try Success,Success,1
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
3rd Try Success,Success,3
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
1st Try Success,Success,1
Failed,Failed,0
Failed,Failed,0
3rd Try Success,Success,3
1st Try Success,Success,1
2nd Try Success,Success,2
Failed,Failed,0
3rd Try Success,Success,3
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
1st Try Success,Success,1
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
3rd Try Success,Success,3
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
3rd Try Success,Success,3
2nd Try Success,Success,2
2nd Try Success,Success,2
3rd Try Success,Success,3
Failed,Failed,0
Failed,Failed,0
2nd Try Success,Success,2
3rd Try Success,Success,3
1st Try Success,Success,1
1st Try Success,Success,1
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
1st Try Success,Success,1
2nd Try Success,Success,2
3rd Try Success,Success,3
1st Try Success,Success,1
Failed,Failed,0
Failed,Failed,0
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
3rd Try Success,Success,3
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
3rd Try Success,Success,3
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
Failed,Failed,0
3rd Try Success,Success,3
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
1st Try Success,Success,1
3rd Try Success,Success,3
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
Failed,Failed,0
1st Try Success,Success,1
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
3rd Try Success,Success,3
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
3rd Try Success,Success,3
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
1st Try Success,Success,1
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
3rd Try Success,Success,3
Failed,Failed,0
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
3rd Try Success,Success,3
Failed,Failed,0
2nd Try Success,Success,2
1st Try Success,Success,1
Failed,Failed,0
1st Try Success,Success,1
1st Try Success,Success,1
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
1st Try Success,Success,1
Failed,Failed,0
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
3rd Try Success,Success,3
1st Try Success,Success,1
1st Try Success,Success,1
Failed,Failed,0
1st Try Success,Success,1
1st Try Success,Success,1
1st Try Success,Success,1
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
1st Try Success,Success,1
1st Try Success,Success,1
Failed,Failed,0
2nd Try Success,Success,2
2nd Try Success,Success,2
3rd Try Success,Success,3
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
1st Try Success,Success,1
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
1st Try Success,Success,1
3rd Try Success,Success,3
2nd Try Success,Success,2
2nd Try Success,Success,2
3rd Try Success,Success,3
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
1st Try Success,Success,1
3rd Try Success,Success,3
1st Try Success,Success,1
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
1st Try Success,Success,1
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
Failed,Failed,0
1st Try Success,Success,1
3rd Try Success,Success,3
Failed,Failed,0
1st Try Success,Success,1
Failed,Failed,0
1st Try Success,Success,1
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
1st Try Success,Success,1
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
1st Try Success,Success,1
1st Try Success,Success,1
1st Try Success,Success,1
1st Try Success,Success,1
3rd Try Success,Success,3
Failed,Failed,0
1st Try Success,Success,1
Failed,Failed,0
1st Try Success,Success,1
2nd Try Success,Success,2
Failed,Failed,0
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
1st Try Success,Success,1
Failed,Failed,0
1st Try Success,Success,1
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
2nd Try Success,Success,2
1st Try Success,Success,1
3rd Try Success,Success,3
1st Try Success,Success,1
2nd Try Success,Success,2
Failed,Failed,0
2nd Try Success,Success,2
1st Try Success,Success,1
2nd Try Success,Success,2
2nd Try Success,Success,2
Failed,Failed,0
3rd Try Success,Success,3
