Episode #,Song Questions + Snack Time Game,Air Date,Month,Year
1,BTS - DNA,"April 7, 2018",April,2018
1,Bolbbalgan4 - Fight Day,"April 7, 2018",April,2018
1,Seventeen - Very Nice,"April 7, 2018",April,2018
2,Chakra - Hey U,"April 14, 2018",April,2018
2,Girls' Generation-TTS - Adrenaline,"April 14, 2018",April,2018
2,AKMU - Crescendo,"April 14, 2018",April,2018
3,Exo - Lotto,"April 21, 2018",April,2018
3,Sharp - Sweety,"April 21, 2018",April,2018
3,AOA - Heart Attack,"April 21, 2018",April,2018
4,Twice - Heart Shaker,"April 28, 2018",April,2018
4,Tashannie - Warning,"April 28, 2018",April,2018
4,Winner - Really Really,"April 28, 2018",April,2018
5,BTS - MIC Drop,"May 5, 2018",May,2018
5,Lee Seung-hwan - Entreaty,"May 5, 2018",May,2018
6,Fin.K.L - Pride,"May 12, 2018",May,2018
6,Got7 - Hard Carry,"May 12, 2018",May,2018
7,Highlight - Plz Don't Be Sad,"May 19, 2018",May,2018
7,Girls' Generation - Hoot,"May 19, 2018",May,2018
8,Lee Jung-hyun - Change,"May 26, 2018",May,2018
8,Super Junior - Devil,"May 26, 2018",May,2018
9,MOBB - Hit Me,"June 2, 2018",June,2018
9,Cool - This Summer,"June 2, 2018",June,2018
10,2NE1 - I Am the Best,"June 9, 2018",June,2018
10,Seventeen - Mansae,"June 9, 2018",June,2018
11,Sechs Kies - Chivalry,"June 16, 2018",June,2018
11,Hockee - Would You Pick Me Up,"June 16, 2018",June,2018
12,Big Bang - Bae Bae,"June 23, 2018",June,2018
12,Twice - Like Ooh-Ahh,"June 23, 2018",June,2018
13,Shinhwa - Resolver,"June 30, 2018",June,2018
13,EXID - Hot Pink,"June 30, 2018",June,2018
14,Red Velvet - Ice Cream Cake,"July 7, 2018",July,2018
14,Kim Gun-mo - Theme Game,"July 7, 2018",July,2018
15,AOA - Cherry Pop,"July 14, 2018",July,2018
15,Yangpa - Marry Me,"July 14, 2018",July,2018
16,KARA - Damaged Lady,"July 21, 2018",July,2018
16,AKMU - How People Move,"July 21, 2018",July,2018
17,Ivy - Sonata of Temptation,"July 28, 2018",July,2018
17,Hyukoh - Big Bird,"July 28, 2018",July,2018
18,Bolbbalgan4 - Blue,"August 4, 2018",August,2018
18,iKON - Rhythm Ta,"August 4, 2018",August,2018
19,Wheesung - Insomnia,"August 11, 2018",August,2018
19,Rain - La Song,"August 11, 2018",August,2018
20,Blackpink - Ddu-Du Ddu-Du,"August 18, 2018",August,2018
20,Skull - One Day,"August 18, 2018",August,2018
21,Block B - HER,"August 25, 2018",August,2018
21,Autumn Vacation - Between Yellow and Red,"August 25, 2018",August,2018
22,Bobby (iKON) - YGGR#HIPHOP,"September 1, 2018",September,2018
22,Brown Eyed Girls - Sixth Sense,"September 1, 2018",September,2018
23,Seo Taiji and Boys - Pilseung,"September 8, 2018",September,2018
23,Jay Park - Girl Friend,"September 8, 2018",September,2018
24,Mamamoo - Yes I Am,"September 15, 2018",September,2018
24,D.Bace - Everything to You,"September 15, 2018",September,2018
25,Busker Busker - It's Hard to Face You,"September 22, 2018",September,2018
25,Yang Hyun-suk - Smoke of The Devil,"September 22, 2018",September,2018
26,AKMU - Reality,"September 29, 2018",September,2018
26,Boom - Shout,"September 29, 2018",September,2018
27,Lee Hyun-do - Sajahoo,"October 6, 2018",October,2018
27,Dean - instagram,"October 6, 2018",October,2018
28,BTS - Fake Love,"October 13, 2018",October,2018
28,Wheesung - Love is Delicious,"October 13, 2018",October,2018
29,Noise - You In My Imagination,"October 20, 2018",October,2018
29,"Zico (Block B) (feat. Crush, Dean) - Bermuda Triangle","October 20, 2018",October,2018
30,UP - Sea,"October 27, 2018",October,2018
30,G-Dragon (Big Bang) - Crayon,"October 27, 2018",October,2018
31,Bada - Mad,"November 3, 2018",November,2018
31,Dynamic Duo - Fireworks,"November 3, 2018",November,2018
32,Seventeen - Pretty U,"November 10, 2018",November,2018
32,Buzz - Tree,"November 10, 2018",November,2018
33,Space A - Maturity,"November 17, 2018",November,2018
33,Humming Urban Stereo - Stalker,"November 17, 2018",November,2018
34,Baby V.O.X - Ya Ya Ya,"November 24, 2018",November,2018
34,Crush (feat. Zico (Block B)) - Cereal,"November 24, 2018",November,2018
35,EXO - Overdose,"December 1, 2018",December,2018
35,Rainbow - A,"December 1, 2018",December,2018
36,Turbo - My Childhood Dream,"December 8, 2018",December,2018
36,Orange Caramel - Bangkok City,"December 8, 2018",December,2018
37,Celeb Five - Shutter,"December 15, 2018",December,2018
37,Park Hyo-shin - Good Person,"December 15, 2018",December,2018
38,Young Turks Club - Ugly Complex,"December 22, 2018",December,2018
38,Wanna One - Flowerbomb,"December 22, 2018",December,2018
39,Sechs Kies - Road Fighter,"December 29, 2018",December,2018
39,K/DA - Pop/Stars,"December 29, 2018",December,2018
40,BTS - Dope,"January 5, 2019",January,2019
40,Kim Johan - Love Prepared For You,"January 5, 2019",January,2019
41,Kan Mi-youn (feat. Eric) - Paparazzi,"January 12, 2019",January,2019
41,Epik High (feat. Younha) - Umbrella,"January 12, 2019",January,2019
42,SHINee - Ring Ding Dong,"January 19, 2019",January,2019
42,IU - Bbibbi,"January 19, 2019",January,2019
